Region X Date,target
Afghanistan X 3/6/20,0
Afghanistan X 3/7/20,0
Afghanistan X 3/8/20,0
Afghanistan X 3/9/20,0
Afghanistan X 3/10/20,0
Afghanistan X 3/11/20,0
Afghanistan X 3/12/20,0
Albania X 3/6/20,0
Albania X 3/7/20,0
Albania X 3/8/20,0
Albania X 3/9/20,0
Albania X 3/10/20,0
Albania X 3/11/20,0
Albania X 3/12/20,0
Algeria X 3/6/20,0
Algeria X 3/7/20,0
Algeria X 3/8/20,0
Algeria X 3/9/20,0
Algeria X 3/10/20,0
Algeria X 3/11/20,0
Algeria X 3/12/20,0
Andorra X 3/6/20,0
Andorra X 3/7/20,0
Andorra X 3/8/20,0
Andorra X 3/9/20,0
Andorra X 3/10/20,0
Andorra X 3/11/20,0
Andorra X 3/12/20,0
Argentina X 3/6/20,0
Argentina X 3/7/20,0
Argentina X 3/8/20,0
Argentina X 3/9/20,0
Argentina X 3/10/20,0
Argentina X 3/11/20,0
Argentina X 3/12/20,0
Armenia X 3/6/20,0
Armenia X 3/7/20,0
Armenia X 3/8/20,0
Armenia X 3/9/20,0
Armenia X 3/10/20,0
Armenia X 3/11/20,0
Armenia X 3/12/20,0
Australia X 3/6/20,0
Australia X 3/7/20,0
Australia X 3/8/20,0
Australia X 3/9/20,0
Australia X 3/10/20,0
Australia X 3/11/20,0
Australia X 3/12/20,0
Austria X 3/6/20,0
Austria X 3/7/20,0
Austria X 3/8/20,0
Austria X 3/9/20,0
Austria X 3/10/20,0
Austria X 3/11/20,0
Austria X 3/12/20,0
Azerbaijan X 3/6/20,0
Azerbaijan X 3/7/20,0
Azerbaijan X 3/8/20,0
Azerbaijan X 3/9/20,0
Azerbaijan X 3/10/20,0
Azerbaijan X 3/11/20,0
Azerbaijan X 3/12/20,0
Bahrain X 3/6/20,0
Bahrain X 3/7/20,0
Bahrain X 3/8/20,0
Bahrain X 3/9/20,0
Bahrain X 3/10/20,0
Bahrain X 3/11/20,0
Bahrain X 3/12/20,0
Bangladesh X 3/6/20,0
Bangladesh X 3/7/20,0
Bangladesh X 3/8/20,0
Bangladesh X 3/9/20,0
Bangladesh X 3/10/20,0
Bangladesh X 3/11/20,0
Bangladesh X 3/12/20,0
Belarus X 3/6/20,0
Belarus X 3/7/20,0
Belarus X 3/8/20,0
Belarus X 3/9/20,0
Belarus X 3/10/20,0
Belarus X 3/11/20,0
Belarus X 3/12/20,0
Belgium X 3/6/20,0
Belgium X 3/7/20,0
Belgium X 3/8/20,0
Belgium X 3/9/20,0
Belgium X 3/10/20,0
Belgium X 3/11/20,0
Belgium X 3/12/20,0
Bhutan X 3/6/20,0
Bhutan X 3/7/20,0
Bhutan X 3/8/20,0
Bhutan X 3/9/20,0
Bhutan X 3/10/20,0
Bhutan X 3/11/20,0
Bhutan X 3/12/20,0
Bolivia X 3/6/20,0
Bolivia X 3/7/20,0
Bolivia X 3/8/20,0
Bolivia X 3/9/20,0
Bolivia X 3/10/20,0
Bolivia X 3/11/20,0
Bolivia X 3/12/20,0
Bosnia and Herzegovina X 3/6/20,0
Bosnia and Herzegovina X 3/7/20,0
Bosnia and Herzegovina X 3/8/20,0
Bosnia and Herzegovina X 3/9/20,0
Bosnia and Herzegovina X 3/10/20,0
Bosnia and Herzegovina X 3/11/20,0
Bosnia and Herzegovina X 3/12/20,0
Brazil X 3/6/20,0
Brazil X 3/7/20,0
Brazil X 3/8/20,0
Brazil X 3/9/20,0
Brazil X 3/10/20,0
Brazil X 3/11/20,0
Brazil X 3/12/20,0
Brunei X 3/6/20,0
Brunei X 3/7/20,0
Brunei X 3/8/20,0
Brunei X 3/9/20,0
Brunei X 3/10/20,0
Brunei X 3/11/20,0
Brunei X 3/12/20,0
Bulgaria X 3/6/20,0
Bulgaria X 3/7/20,0
Bulgaria X 3/8/20,0
Bulgaria X 3/9/20,0
Bulgaria X 3/10/20,0
Bulgaria X 3/11/20,0
Bulgaria X 3/12/20,0
Burkina Faso X 3/6/20,0
Burkina Faso X 3/7/20,0
Burkina Faso X 3/8/20,0
Burkina Faso X 3/9/20,0
Burkina Faso X 3/10/20,0
Burkina Faso X 3/11/20,0
Burkina Faso X 3/12/20,0
Cambodia X 3/6/20,0
Cambodia X 3/7/20,0
Cambodia X 3/8/20,0
Cambodia X 3/9/20,0
Cambodia X 3/10/20,0
Cambodia X 3/11/20,0
Cambodia X 3/12/20,0
Cameroon X 3/6/20,0
Cameroon X 3/7/20,0
Cameroon X 3/8/20,0
Cameroon X 3/9/20,0
Cameroon X 3/10/20,0
Cameroon X 3/11/20,0
Cameroon X 3/12/20,0
Canada X 3/6/20,0
Canada X 3/7/20,0
Canada X 3/8/20,0
Canada X 3/9/20,0
Canada X 3/10/20,0
Canada X 3/11/20,0
Canada X 3/12/20,0
Chile X 3/6/20,0
Chile X 3/7/20,0
Chile X 3/8/20,0
Chile X 3/9/20,0
Chile X 3/10/20,0
Chile X 3/11/20,0
Chile X 3/12/20,0
China X 3/6/20,0
China X 3/7/20,0
China X 3/8/20,0
China X 3/9/20,0
China X 3/10/20,0
China X 3/11/20,0
China X 3/12/20,0
Colombia X 3/6/20,0
Colombia X 3/7/20,0
Colombia X 3/8/20,0
Colombia X 3/9/20,0
Colombia X 3/10/20,0
Colombia X 3/11/20,0
Colombia X 3/12/20,0
Congo (Kinshasa) X 3/6/20,0
Congo (Kinshasa) X 3/7/20,0
Congo (Kinshasa) X 3/8/20,0
Congo (Kinshasa) X 3/9/20,0
Congo (Kinshasa) X 3/10/20,0
Congo (Kinshasa) X 3/11/20,0
Congo (Kinshasa) X 3/12/20,0
Costa Rica X 3/6/20,0
Costa Rica X 3/7/20,0
Costa Rica X 3/8/20,0
Costa Rica X 3/9/20,0
Costa Rica X 3/10/20,0
Costa Rica X 3/11/20,0
Costa Rica X 3/12/20,0
Cote d'Ivoire X 3/6/20,0
Cote d'Ivoire X 3/7/20,0
Cote d'Ivoire X 3/8/20,0
Cote d'Ivoire X 3/9/20,0
Cote d'Ivoire X 3/10/20,0
Cote d'Ivoire X 3/11/20,0
Cote d'Ivoire X 3/12/20,0
Croatia X 3/6/20,0
Croatia X 3/7/20,0
Croatia X 3/8/20,0
Croatia X 3/9/20,0
Croatia X 3/10/20,0
Croatia X 3/11/20,0
Croatia X 3/12/20,0
Cuba X 3/6/20,0
Cuba X 3/7/20,0
Cuba X 3/8/20,0
Cuba X 3/9/20,0
Cuba X 3/10/20,0
Cuba X 3/11/20,0
Cuba X 3/12/20,0
Cyprus X 3/6/20,0
Cyprus X 3/7/20,0
Cyprus X 3/8/20,0
Cyprus X 3/9/20,0
Cyprus X 3/10/20,0
Cyprus X 3/11/20,0
Cyprus X 3/12/20,0
Czechia X 3/6/20,0
Czechia X 3/7/20,0
Czechia X 3/8/20,0
Czechia X 3/9/20,0
Czechia X 3/10/20,0
Czechia X 3/11/20,0
Czechia X 3/12/20,0
Denmark X 3/6/20,0
Denmark X 3/7/20,0
Denmark X 3/8/20,0
Denmark X 3/9/20,0
Denmark X 3/10/20,0
Denmark X 3/11/20,0
Denmark X 3/12/20,0
Dominican Republic X 3/6/20,0
Dominican Republic X 3/7/20,0
Dominican Republic X 3/8/20,0
Dominican Republic X 3/9/20,0
Dominican Republic X 3/10/20,0
Dominican Republic X 3/11/20,0
Dominican Republic X 3/12/20,0
Ecuador X 3/6/20,0
Ecuador X 3/7/20,0
Ecuador X 3/8/20,0
Ecuador X 3/9/20,0
Ecuador X 3/10/20,0
Ecuador X 3/11/20,0
Ecuador X 3/12/20,0
Egypt X 3/6/20,0
Egypt X 3/7/20,0
Egypt X 3/8/20,0
Egypt X 3/9/20,0
Egypt X 3/10/20,0
Egypt X 3/11/20,0
Egypt X 3/12/20,0
Estonia X 3/6/20,0
Estonia X 3/7/20,0
Estonia X 3/8/20,0
Estonia X 3/9/20,0
Estonia X 3/10/20,0
Estonia X 3/11/20,0
Estonia X 3/12/20,0
Finland X 3/6/20,0
Finland X 3/7/20,0
Finland X 3/8/20,0
Finland X 3/9/20,0
Finland X 3/10/20,0
Finland X 3/11/20,0
Finland X 3/12/20,0
France X 3/6/20,0
France X 3/7/20,0
France X 3/8/20,0
France X 3/9/20,0
France X 3/10/20,0
France X 3/11/20,0
France X 3/12/20,0
French Guiana X 3/6/20,0
French Guiana X 3/7/20,0
French Guiana X 3/8/20,0
French Guiana X 3/9/20,0
French Guiana X 3/10/20,0
French Guiana X 3/11/20,0
French Guiana X 3/12/20,0
Georgia X 3/6/20,0
Georgia X 3/7/20,0
Georgia X 3/8/20,0
Georgia X 3/9/20,0
Georgia X 3/10/20,0
Georgia X 3/11/20,0
Georgia X 3/12/20,0
Germany X 3/6/20,0
Germany X 3/7/20,0
Germany X 3/8/20,0
Germany X 3/9/20,0
Germany X 3/10/20,0
Germany X 3/11/20,0
Germany X 3/12/20,0
Greece X 3/6/20,0
Greece X 3/7/20,0
Greece X 3/8/20,0
Greece X 3/9/20,0
Greece X 3/10/20,0
Greece X 3/11/20,0
Greece X 3/12/20,0
Guyana X 3/6/20,0
Guyana X 3/7/20,0
Guyana X 3/8/20,0
Guyana X 3/9/20,0
Guyana X 3/10/20,0
Guyana X 3/11/20,0
Guyana X 3/12/20,0
Honduras X 3/6/20,0
Honduras X 3/7/20,0
Honduras X 3/8/20,0
Honduras X 3/9/20,0
Honduras X 3/10/20,0
Honduras X 3/11/20,0
Honduras X 3/12/20,0
Hungary X 3/6/20,0
Hungary X 3/7/20,0
Hungary X 3/8/20,0
Hungary X 3/9/20,0
Hungary X 3/10/20,0
Hungary X 3/11/20,0
Hungary X 3/12/20,0
Iceland X 3/6/20,0
Iceland X 3/7/20,0
Iceland X 3/8/20,0
Iceland X 3/9/20,0
Iceland X 3/10/20,0
Iceland X 3/11/20,0
Iceland X 3/12/20,0
India X 3/6/20,0
India X 3/7/20,0
India X 3/8/20,0
India X 3/9/20,0
India X 3/10/20,0
India X 3/11/20,0
India X 3/12/20,0
Indonesia X 3/6/20,0
Indonesia X 3/7/20,0
Indonesia X 3/8/20,0
Indonesia X 3/9/20,0
Indonesia X 3/10/20,0
Indonesia X 3/11/20,0
Indonesia X 3/12/20,0
Iran X 3/6/20,0
Iran X 3/7/20,0
Iran X 3/8/20,0
Iran X 3/9/20,0
Iran X 3/10/20,0
Iran X 3/11/20,0
Iran X 3/12/20,0
Iraq X 3/6/20,0
Iraq X 3/7/20,0
Iraq X 3/8/20,0
Iraq X 3/9/20,0
Iraq X 3/10/20,0
Iraq X 3/11/20,0
Iraq X 3/12/20,0
Ireland X 3/6/20,0
Ireland X 3/7/20,0
Ireland X 3/8/20,0
Ireland X 3/9/20,0
Ireland X 3/10/20,0
Ireland X 3/11/20,0
Ireland X 3/12/20,0
Israel X 3/6/20,0
Israel X 3/7/20,0
Israel X 3/8/20,0
Israel X 3/9/20,0
Israel X 3/10/20,0
Israel X 3/11/20,0
Israel X 3/12/20,0
Italy X 3/6/20,0
Italy X 3/7/20,0
Italy X 3/8/20,0
Italy X 3/9/20,0
Italy X 3/10/20,0
Italy X 3/11/20,0
Italy X 3/12/20,0
Jamaica X 3/6/20,0
Jamaica X 3/7/20,0
Jamaica X 3/8/20,0
Jamaica X 3/9/20,0
Jamaica X 3/10/20,0
Jamaica X 3/11/20,0
Jamaica X 3/12/20,0
Japan X 3/6/20,0
Japan X 3/7/20,0
Japan X 3/8/20,0
Japan X 3/9/20,0
Japan X 3/10/20,0
Japan X 3/11/20,0
Japan X 3/12/20,0
Jordan X 3/6/20,0
Jordan X 3/7/20,0
Jordan X 3/8/20,0
Jordan X 3/9/20,0
Jordan X 3/10/20,0
Jordan X 3/11/20,0
Jordan X 3/12/20,0
"Korea, South X 3/6/20",0
"Korea, South X 3/7/20",0
"Korea, South X 3/8/20",0
"Korea, South X 3/9/20",0
"Korea, South X 3/10/20",0
"Korea, South X 3/11/20",0
"Korea, South X 3/12/20",0
Kuwait X 3/6/20,0
Kuwait X 3/7/20,0
Kuwait X 3/8/20,0
Kuwait X 3/9/20,0
Kuwait X 3/10/20,0
Kuwait X 3/11/20,0
Kuwait X 3/12/20,0
Latvia X 3/6/20,0
Latvia X 3/7/20,0
Latvia X 3/8/20,0
Latvia X 3/9/20,0
Latvia X 3/10/20,0
Latvia X 3/11/20,0
Latvia X 3/12/20,0
Lebanon X 3/6/20,0
Lebanon X 3/7/20,0
Lebanon X 3/8/20,0
Lebanon X 3/9/20,0
Lebanon X 3/10/20,0
Lebanon X 3/11/20,0
Lebanon X 3/12/20,0
Liechtenstein X 3/6/20,0
Liechtenstein X 3/7/20,0
Liechtenstein X 3/8/20,0
Liechtenstein X 3/9/20,0
Liechtenstein X 3/10/20,0
Liechtenstein X 3/11/20,0
Liechtenstein X 3/12/20,0
Lithuania X 3/6/20,0
Lithuania X 3/7/20,0
Lithuania X 3/8/20,0
Lithuania X 3/9/20,0
Lithuania X 3/10/20,0
Lithuania X 3/11/20,0
Lithuania X 3/12/20,0
Luxembourg X 3/6/20,0
Luxembourg X 3/7/20,0
Luxembourg X 3/8/20,0
Luxembourg X 3/9/20,0
Luxembourg X 3/10/20,0
Luxembourg X 3/11/20,0
Luxembourg X 3/12/20,0
Malaysia X 3/6/20,0
Malaysia X 3/7/20,0
Malaysia X 3/8/20,0
Malaysia X 3/9/20,0
Malaysia X 3/10/20,0
Malaysia X 3/11/20,0
Malaysia X 3/12/20,0
Maldives X 3/6/20,0
Maldives X 3/7/20,0
Maldives X 3/8/20,0
Maldives X 3/9/20,0
Maldives X 3/10/20,0
Maldives X 3/11/20,0
Maldives X 3/12/20,0
Malta X 3/6/20,0
Malta X 3/7/20,0
Malta X 3/8/20,0
Malta X 3/9/20,0
Malta X 3/10/20,0
Malta X 3/11/20,0
Malta X 3/12/20,0
Martinique X 3/6/20,0
Martinique X 3/7/20,0
Martinique X 3/8/20,0
Martinique X 3/9/20,0
Martinique X 3/10/20,0
Martinique X 3/11/20,0
Martinique X 3/12/20,0
Mexico X 3/6/20,0
Mexico X 3/7/20,0
Mexico X 3/8/20,0
Mexico X 3/9/20,0
Mexico X 3/10/20,0
Mexico X 3/11/20,0
Mexico X 3/12/20,0
Moldova X 3/6/20,0
Moldova X 3/7/20,0
Moldova X 3/8/20,0
Moldova X 3/9/20,0
Moldova X 3/10/20,0
Moldova X 3/11/20,0
Moldova X 3/12/20,0
Monaco X 3/6/20,0
Monaco X 3/7/20,0
Monaco X 3/8/20,0
Monaco X 3/9/20,0
Monaco X 3/10/20,0
Monaco X 3/11/20,0
Monaco X 3/12/20,0
Mongolia X 3/6/20,0
Mongolia X 3/7/20,0
Mongolia X 3/8/20,0
Mongolia X 3/9/20,0
Mongolia X 3/10/20,0
Mongolia X 3/11/20,0
Mongolia X 3/12/20,0
Morocco X 3/6/20,0
Morocco X 3/7/20,0
Morocco X 3/8/20,0
Morocco X 3/9/20,0
Morocco X 3/10/20,0
Morocco X 3/11/20,0
Morocco X 3/12/20,0
Nepal X 3/6/20,0
Nepal X 3/7/20,0
Nepal X 3/8/20,0
Nepal X 3/9/20,0
Nepal X 3/10/20,0
Nepal X 3/11/20,0
Nepal X 3/12/20,0
Netherlands X 3/6/20,0
Netherlands X 3/7/20,0
Netherlands X 3/8/20,0
Netherlands X 3/9/20,0
Netherlands X 3/10/20,0
Netherlands X 3/11/20,0
Netherlands X 3/12/20,0
New Zealand X 3/6/20,0
New Zealand X 3/7/20,0
New Zealand X 3/8/20,0
New Zealand X 3/9/20,0
New Zealand X 3/10/20,0
New Zealand X 3/11/20,0
New Zealand X 3/12/20,0
Nigeria X 3/6/20,0
Nigeria X 3/7/20,0
Nigeria X 3/8/20,0
Nigeria X 3/9/20,0
Nigeria X 3/10/20,0
Nigeria X 3/11/20,0
Nigeria X 3/12/20,0
North Macedonia X 3/6/20,0
North Macedonia X 3/7/20,0
North Macedonia X 3/8/20,0
North Macedonia X 3/9/20,0
North Macedonia X 3/10/20,0
North Macedonia X 3/11/20,0
North Macedonia X 3/12/20,0
Norway X 3/6/20,0
Norway X 3/7/20,0
Norway X 3/8/20,0
Norway X 3/9/20,0
Norway X 3/10/20,0
Norway X 3/11/20,0
Norway X 3/12/20,0
Oman X 3/6/20,0
Oman X 3/7/20,0
Oman X 3/8/20,0
Oman X 3/9/20,0
Oman X 3/10/20,0
Oman X 3/11/20,0
Oman X 3/12/20,0
Pakistan X 3/6/20,0
Pakistan X 3/7/20,0
Pakistan X 3/8/20,0
Pakistan X 3/9/20,0
Pakistan X 3/10/20,0
Pakistan X 3/11/20,0
Pakistan X 3/12/20,0
Panama X 3/6/20,0
Panama X 3/7/20,0
Panama X 3/8/20,0
Panama X 3/9/20,0
Panama X 3/10/20,0
Panama X 3/11/20,0
Panama X 3/12/20,0
Paraguay X 3/6/20,0
Paraguay X 3/7/20,0
Paraguay X 3/8/20,0
Paraguay X 3/9/20,0
Paraguay X 3/10/20,0
Paraguay X 3/11/20,0
Paraguay X 3/12/20,0
Peru X 3/6/20,0
Peru X 3/7/20,0
Peru X 3/8/20,0
Peru X 3/9/20,0
Peru X 3/10/20,0
Peru X 3/11/20,0
Peru X 3/12/20,0
Philippines X 3/6/20,0
Philippines X 3/7/20,0
Philippines X 3/8/20,0
Philippines X 3/9/20,0
Philippines X 3/10/20,0
Philippines X 3/11/20,0
Philippines X 3/12/20,0
Poland X 3/6/20,0
Poland X 3/7/20,0
Poland X 3/8/20,0
Poland X 3/9/20,0
Poland X 3/10/20,0
Poland X 3/11/20,0
Poland X 3/12/20,0
Portugal X 3/6/20,0
Portugal X 3/7/20,0
Portugal X 3/8/20,0
Portugal X 3/9/20,0
Portugal X 3/10/20,0
Portugal X 3/11/20,0
Portugal X 3/12/20,0
Qatar X 3/6/20,0
Qatar X 3/7/20,0
Qatar X 3/8/20,0
Qatar X 3/9/20,0
Qatar X 3/10/20,0
Qatar X 3/11/20,0
Qatar X 3/12/20,0
Reunion X 3/6/20,0
Reunion X 3/7/20,0
Reunion X 3/8/20,0
Reunion X 3/9/20,0
Reunion X 3/10/20,0
Reunion X 3/11/20,0
Reunion X 3/12/20,0
Romania X 3/6/20,0
Romania X 3/7/20,0
Romania X 3/8/20,0
Romania X 3/9/20,0
Romania X 3/10/20,0
Romania X 3/11/20,0
Romania X 3/12/20,0
Russia X 3/6/20,0
Russia X 3/7/20,0
Russia X 3/8/20,0
Russia X 3/9/20,0
Russia X 3/10/20,0
Russia X 3/11/20,0
Russia X 3/12/20,0
San Marino X 3/6/20,0
San Marino X 3/7/20,0
San Marino X 3/8/20,0
San Marino X 3/9/20,0
San Marino X 3/10/20,0
San Marino X 3/11/20,0
San Marino X 3/12/20,0
Saudi Arabia X 3/6/20,0
Saudi Arabia X 3/7/20,0
Saudi Arabia X 3/8/20,0
Saudi Arabia X 3/9/20,0
Saudi Arabia X 3/10/20,0
Saudi Arabia X 3/11/20,0
Saudi Arabia X 3/12/20,0
Senegal X 3/6/20,0
Senegal X 3/7/20,0
Senegal X 3/8/20,0
Senegal X 3/9/20,0
Senegal X 3/10/20,0
Senegal X 3/11/20,0
Senegal X 3/12/20,0
Serbia X 3/6/20,0
Serbia X 3/7/20,0
Serbia X 3/8/20,0
Serbia X 3/9/20,0
Serbia X 3/10/20,0
Serbia X 3/11/20,0
Serbia X 3/12/20,0
Singapore X 3/6/20,0
Singapore X 3/7/20,0
Singapore X 3/8/20,0
Singapore X 3/9/20,0
Singapore X 3/10/20,0
Singapore X 3/11/20,0
Singapore X 3/12/20,0
Slovakia X 3/6/20,0
Slovakia X 3/7/20,0
Slovakia X 3/8/20,0
Slovakia X 3/9/20,0
Slovakia X 3/10/20,0
Slovakia X 3/11/20,0
Slovakia X 3/12/20,0
Slovenia X 3/6/20,0
Slovenia X 3/7/20,0
Slovenia X 3/8/20,0
Slovenia X 3/9/20,0
Slovenia X 3/10/20,0
Slovenia X 3/11/20,0
Slovenia X 3/12/20,0
South Africa X 3/6/20,0
South Africa X 3/7/20,0
South Africa X 3/8/20,0
South Africa X 3/9/20,0
South Africa X 3/10/20,0
South Africa X 3/11/20,0
South Africa X 3/12/20,0
Spain X 3/6/20,0
Spain X 3/7/20,0
Spain X 3/8/20,0
Spain X 3/9/20,0
Spain X 3/10/20,0
Spain X 3/11/20,0
Spain X 3/12/20,0
Sri Lanka X 3/6/20,0
Sri Lanka X 3/7/20,0
Sri Lanka X 3/8/20,0
Sri Lanka X 3/9/20,0
Sri Lanka X 3/10/20,0
Sri Lanka X 3/11/20,0
Sri Lanka X 3/12/20,0
Sweden X 3/6/20,0
Sweden X 3/7/20,0
Sweden X 3/8/20,0
Sweden X 3/9/20,0
Sweden X 3/10/20,0
Sweden X 3/11/20,0
Sweden X 3/12/20,0
Switzerland X 3/6/20,0
Switzerland X 3/7/20,0
Switzerland X 3/8/20,0
Switzerland X 3/9/20,0
Switzerland X 3/10/20,0
Switzerland X 3/11/20,0
Switzerland X 3/12/20,0
Taiwan* X 3/6/20,0
Taiwan* X 3/7/20,0
Taiwan* X 3/8/20,0
Taiwan* X 3/9/20,0
Taiwan* X 3/10/20,0
Taiwan* X 3/11/20,0
Taiwan* X 3/12/20,0
Thailand X 3/6/20,0
Thailand X 3/7/20,0
Thailand X 3/8/20,0
Thailand X 3/9/20,0
Thailand X 3/10/20,0
Thailand X 3/11/20,0
Thailand X 3/12/20,0
Togo X 3/6/20,0
Togo X 3/7/20,0
Togo X 3/8/20,0
Togo X 3/9/20,0
Togo X 3/10/20,0
Togo X 3/11/20,0
Togo X 3/12/20,0
Tunisia X 3/6/20,0
Tunisia X 3/7/20,0
Tunisia X 3/8/20,0
Tunisia X 3/9/20,0
Tunisia X 3/10/20,0
Tunisia X 3/11/20,0
Tunisia X 3/12/20,0
Turkey X 3/6/20,0
Turkey X 3/7/20,0
Turkey X 3/8/20,0
Turkey X 3/9/20,0
Turkey X 3/10/20,0
Turkey X 3/11/20,0
Turkey X 3/12/20,0
US X 3/6/20,0
US X 3/7/20,0
US X 3/8/20,0
US X 3/9/20,0
US X 3/10/20,0
US X 3/11/20,0
US X 3/12/20,0
Ukraine X 3/6/20,0
Ukraine X 3/7/20,0
Ukraine X 3/8/20,0
Ukraine X 3/9/20,0
Ukraine X 3/10/20,0
Ukraine X 3/11/20,0
Ukraine X 3/12/20,0
United Arab Emirates X 3/6/20,0
United Arab Emirates X 3/7/20,0
United Arab Emirates X 3/8/20,0
United Arab Emirates X 3/9/20,0
United Arab Emirates X 3/10/20,0
United Arab Emirates X 3/11/20,0
United Arab Emirates X 3/12/20,0
United Kingdom X 3/6/20,0
United Kingdom X 3/7/20,0
United Kingdom X 3/8/20,0
United Kingdom X 3/9/20,0
United Kingdom X 3/10/20,0
United Kingdom X 3/11/20,0
United Kingdom X 3/12/20,0
Vietnam X 3/6/20,0
Vietnam X 3/7/20,0
Vietnam X 3/8/20,0
Vietnam X 3/9/20,0
Vietnam X 3/10/20,0
Vietnam X 3/11/20,0
Vietnam X 3/12/20,0
